===== perceiver-io-linstyle 학습 결과 =====

Epoch 1: Train Loss=5.6658, Test Loss=1.9871, Test Acc=0.2383
Epoch 2: Train Loss=1.9893, Test Loss=1.6665, Test Acc=0.3376
Epoch 3: Train Loss=1.5661, Test Loss=1.2661, Test Acc=0.5122
Epoch 4: Train Loss=1.2346, Test Loss=1.0091, Test Acc=0.5940
Epoch 5: Train Loss=1.0163, Test Loss=0.8606, Test Acc=0.6606
Epoch 6: Train Loss=0.9137, Test Loss=0.8066, Test Acc=0.6970
Epoch 7: Train Loss=0.8363, Test Loss=0.7549, Test Acc=0.7216
Epoch 8: Train Loss=0.7779, Test Loss=0.7174, Test Acc=0.7312
Epoch 9: Train Loss=0.7381, Test Loss=0.6810, Test Acc=0.7542
Epoch 10: Train Loss=0.6971, Test Loss=0.6386, Test Acc=0.7664
Epoch 11: Train Loss=0.6672, Test Loss=0.6091, Test Acc=0.7786
Epoch 12: Train Loss=0.6355, Test Loss=0.5923, Test Acc=0.7839
Epoch 13: Train Loss=0.6087, Test Loss=0.5731, Test Acc=0.7949
Epoch 14: Train Loss=0.5837, Test Loss=0.5466, Test Acc=0.8073
Epoch 15: Train Loss=0.5598, Test Loss=0.5474, Test Acc=0.8030
Epoch 16: Train Loss=0.5452, Test Loss=0.5433, Test Acc=0.8071
Epoch 17: Train Loss=0.5288, Test Loss=0.5139, Test Acc=0.8184
Epoch 18: Train Loss=0.5077, Test Loss=0.5033, Test Acc=0.8234
Epoch 19: Train Loss=0.4946, Test Loss=0.5000, Test Acc=0.8275
Epoch 20: Train Loss=0.4786, Test Loss=0.4830, Test Acc=0.8325
Epoch 21: Train Loss=0.4637, Test Loss=0.4746, Test Acc=0.8304
Epoch 22: Train Loss=0.4536, Test Loss=0.4684, Test Acc=0.8371
Epoch 23: Train Loss=0.4481, Test Loss=0.4648, Test Acc=0.8340
Epoch 24: Train Loss=0.4403, Test Loss=0.4489, Test Acc=0.8404
Epoch 25: Train Loss=0.4260, Test Loss=0.4630, Test Acc=0.8455
Epoch 26: Train Loss=0.4186, Test Loss=0.4621, Test Acc=0.8403
Epoch 27: Train Loss=0.4154, Test Loss=0.4556, Test Acc=0.8420
Epoch 28: Train Loss=0.4066, Test Loss=0.4444, Test Acc=0.8415
Epoch 29: Train Loss=0.4013, Test Loss=0.4390, Test Acc=0.8473
Epoch 30: Train Loss=0.3957, Test Loss=0.4317, Test Acc=0.8486

총 학습 시간 (초): 306.69
모델 크기 (MB): 2.16
